COD_CID;DESIG_CID;AREAFIN_M2;LATITUDE;LONGITUDE
0096;Portalegre;11204902.836544705554843;39.282811851000076;-7.430990343999952
0097;Estremoz;4788450.913576431572437;38.845180666000033;-7.586306361999959
0098;Évora;14295444.246654231101274;38.567475954000031;-7.910778740999945
0099;Montemor-o-Novo;3510577.748258618637919;38.646125570000038;-8.212673702999950
0100;Vendas Novas;9303439.810789223760366;38.676998693000030;-8.477150764999976
0101;Beja;7330047.779796329326928;38.016684708000071;-7.860667496999952
0102;Moura;3624681.356306711677462;38.139213448000078;-7.449281410999959
0103;Albufeira;10935968.919509777799249;37.094227132000071;-8.244287955999937
0104;Faro;13700728.757670389488339;37.024650802000053;-7.931674287999954
0105;Lagos;8656797.186851091682911;37.100692687000048;-8.680576773999974
0106;Loulé;4860193.937988660298288;37.137505480000073;-8.017158709999933
0107;Olhão da Restauração;5181842.418680499307811;37.033671647000062;-7.839409296999975
0108;Portimão;11587706.200888106599450;37.140805929000066;-8.544899781999959
0109;Silves;2012050.767820509616286;37.192281535000063;-8.440181198999937
0110;Tavira;7673655.982243021018803;37.127609943000039;-7.643526854999948
0111;Vila Real  Santo António;4237.876422839999577;37.192192815000055;-7.433026759999962
0111;Vila Real Santo António;3163085.319074118509889;37.193648721000045;-7.417736787999957
0122;Quarteira;3331397.534143539145589;37.070707925000079;-8.097831559999975
0123;Valpaços;6491997.994371902197599;41.607744966000041;-7.309731202999956
0124;Póvoa de Santa Iria;4600676.037972447462380;38.858722623000062;-9.069038889999945
0125;Macedo de Cavaleiros;6036880.595290402881801;41.537938117000067;-6.963477881999950
0126;Santa Comba Dão;3333516.406850570812821;40.403288848000045;-8.129231585999946
0128;Lourosa;5773999.120196802541614;40.982010300000070;-8.543840223999950
0129;Fiães;6378238.305749310180545;40.985784800000033;-8.522205542999927
0130;Gafanha da Nazaré;9933927.771243860945106;40.639947889000041;-8.711690316999977
0131;Agualva-Cacém;10424400.185003198683262;38.769698342000027;-9.308128152999927
