Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2021-12;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Masculino;35-49;69;2021-12/35-49/Masculino/Cávado II - Gerês/Cabreira
2021-12;Norte;Cávado III - Barcelos/Esposende;41.5317419,-8.6178922;Masculino;65 e +;85;2021-12/65 e +/Masculino/Cávado III - Barcelos/Esposende
2021-12;Norte;Cávado III - Barcelos/Esposende;41.5317419,-8.6178922;Feminino;20-34;35;2021-12/20-34/Feminino/Cávado III - Barcelos/Esposende
2021-12;Norte;Cávado III - Barcelos/Esposende;41.5317419,-8.6178922;Feminino;35-49;72;2021-12/35-49/Feminino/Cávado III - Barcelos/Esposende
2021-12;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Masculino;<20;154;2021-12/<20/Masculino/Tâmega I - Baixo Tâmega
2021-12;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Masculino;50-64;351;2021-12/50-64/Masculino/Tâmega I - Baixo Tâmega
2021-12;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Masculino;20-34;54;2021-12/20-34/Masculino/Tâmega II - Vale do Sousa Sul
2021-12;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Masculino;65 e +;171;2021-12/65 e +/Masculino/Tâmega II - Vale do Sousa Sul
2021-12;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;35-49;152;2021-12/35-49/Feminino/Tâmega II - Vale do Sousa Sul
2021-12;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;65 e +;238;2021-12/65 e +/Feminino/Tâmega II - Vale do Sousa Sul
2021-12;Norte;Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;Masculino;20-34;20;2021-12/20-34/Masculino/Tâmega III - Vale do Sousa Norte
2021-12;Norte;Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;Masculino;50-64;76;2021-12/50-64/Masculino/Tâmega III - Vale do Sousa Norte
2021-12;Norte;Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;Feminino;<20;62;2021-12/<20/Feminino/Tâmega III - Vale do Sousa Norte
2021-12;Norte;Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;Feminino;50-64;137;2021-12/50-64/Feminino/Tâmega III - Vale do Sousa Norte
2021-12;Norte;Grande Porto I - Santo Tirso/Trofa;41.3469246,-8.4822648;Masculino;50-64;108;2021-12/50-64/Masculino/Grande Porto I - Santo Tirso/Trofa
2021-12;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Feminino;50-64;176;2021-12/50-64/Feminino/Grande Porto II - Gondomar
2021-12;Norte;Grande Porto III - Maia/Valongo;41.2333945,-8.6187474;Masculino;35-49;134;2021-12/35-49/Masculino/Grande Porto III - Maia/Valongo
2021-12;Norte;Grande Porto V - Póvoa de do Varzim/Vila do Conde;41.355519,-8.746653;Feminino;35-49;145;2021-12/35-49/Feminino/Grande Porto V - Póvoa de do Varzim/Vila do Conde
2021-12;Norte;Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;Feminino;35-49;50;2021-12/35-49/Feminino/Grande Porto V - Porto Ocidental
